City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
206,turinskaya sloboda,57.6232,64.3858,-27.35,100,6,0.74,RU,Mon Dec 11 10:58:57 2023
207,fort st. john,56.2499,-120.8529,17.49,73,75,8.05,CA,Mon Dec 11 10:58:57 2023
208,kavieng,-2.5744,150.7967,81.1,83,97,5.55,PG,Mon Dec 11 10:58:57 2023
209,murbad,19.25,73.4,75.97,53,39,2.33,IN,Mon Dec 11 10:58:57 2023
210,sirte,31.2089,16.5887,66.36,58,9,22.77,LY,Mon Dec 11 10:58:57 2023
211,port macquarie,-31.4333,152.9167,62.89,90,3,5.77,AU,Mon Dec 11 10:58:57 2023
212,bangor trident base,47.7227,-122.7145,46.62,93,71,3.0,US,Mon Dec 11 10:58:58 2023
213,sanya,18.2431,109.505,77.16,83,75,4.47,CN,Mon Dec 11 10:58:58 2023
214,uturoa,-16.7333,-151.4333,80.62,75,62,20.92,PF,Mon Dec 11 10:58:58 2023
215,terme,41.2092,36.9739,56.03,75,100,2.46,TR,Mon Dec 11 10:58:58 2023
216,bandarbeyla,9.4942,50.8122,78.35,73,83,20.96,SO,Mon Dec 11 10:58:58 2023
217,pachino,36.7186,15.0907,60.17,67,14,12.84,IT,Mon Dec 11 10:58:58 2023
218,yamoussoukro,6.8206,-5.2767,91.29,52,40,6.91,CI,Mon Dec 11 10:58:58 2023
219,rongelap,11.1635,166.8941,81.77,77,46,18.01,MH,Mon Dec 11 10:58:58 2023
220,mana,5.6592,-53.7767,85.5,67,26,9.86,GF,Mon Dec 11 10:58:59 2023
221,polonnaruwa,7.9333,81.0,75.38,95,55,1.92,LK,Mon Dec 11 10:58:59 2023
222,tindouf,27.6711,-8.1474,73.85,20,72,18.41,DZ,Mon Dec 11 10:58:59 2023
223,isfana,39.8386,69.5306,28.96,87,100,4.5,KG,Mon Dec 11 10:58:59 2023
224,katsuura,35.1333,140.3,57.22,82,100,4.21,JP,Mon Dec 11 10:58:59 2023
225,konin,52.2234,18.2512,40.05,92,100,14.79,PL,Mon Dec 11 10:58:59 2023
226,yelizovo,53.1873,158.3805,23.14,68,75,6.71,RU,Mon Dec 11 10:58:59 2023
227,mandiana,10.6333,-8.6833,93.99,10,91,4.81,GN,Mon Dec 11 10:59:00 2023
228,susuman,62.7833,148.1667,-7.02,96,100,5.01,RU,Mon Dec 11 10:59:00 2023
229,phek,25.6667,94.5,43.36,98,6,1.59,IN,Mon Dec 11 10:59:00 2023
230,rabigh,22.7986,39.0349,82.99,67,68,8.99,SA,Mon Dec 11 10:59:00 2023
231,paracuru,-3.41,-39.0306,84.11,54,66,14.9,BR,Mon Dec 11 10:59:00 2023
232,gao,16.6362,1.637,81.66,13,0,15.88,ML,Mon Dec 11 10:59:00 2023
233,saipan,15.1355,145.701,81.3,83,20,10.36,MP,Mon Dec 11 10:59:00 2023
234,remire-montjoly,4.9167,-52.2667,89.64,62,20,9.22,GF,Mon Dec 11 10:59:00 2023
235,alliance,40.9153,-81.1059,33.4,68,68,14.18,US,Mon Dec 11 10:54:58 2023
236,bardai,11.65,7.2333,79.7,16,6,12.91,NG,Mon Dec 11 10:59:01 2023
237,carnarvon,-24.8667,113.6333,76.44,61,0,10.18,AU,Mon Dec 11 10:59:01 2023
238,pedregal,8.3667,-82.4333,87.89,80,20,2.3,PA,Mon Dec 11 10:59:01 2023
239,georgetown,5.4112,100.3354,78.94,94,40,2.3,MY,Mon Dec 11 10:58:57 2023
240,karratha,-20.7377,116.8463,78.84,45,0,10.0,AU,Mon Dec 11 10:59:01 2023
241,katsuren-haebaru,26.3369,127.8719,75.97,94,75,5.75,JP,Mon Dec 11 10:59:01 2023
242,mantua,45.1667,10.7833,43.05,91,99,1.01,IT,Mon Dec 11 10:59:01 2023
243,faya-largeau,17.9257,19.1043,73.54,24,0,15.37,TD,Mon Dec 11 10:59:02 2023
244,loukhi,66.0764,33.0381,-1.97,100,89,4.63,RU,Mon Dec 11 10:59:02 2023
245,griffith,41.5284,-87.4237,30.27,69,100,6.91,US,Mon Dec 11 10:59:02 2023
246,vera cruz,-12.6333,-41.0333,93.56,27,65,7.23,BR,Mon Dec 11 10:56:43 2023
247,quinte west,44.1834,-77.5662,34.57,84,75,14.97,CA,Mon Dec 11 10:59:02 2023
248,kailua-kona,19.6406,-155.9956,78.6,82,0,8.05,US,Mon Dec 11 10:59:02 2023
249,prado,-17.3411,-39.2208,84.52,55,56,15.39,BR,Mon Dec 11 10:59:02 2023
250,taoudenni,22.6783,-3.9836,82.27,11,33,13.4,ML,Mon Dec 11 10:59:02 2023
251,lospalos,-8.5186,127.0025,74.21,92,100,3.87,TL,Mon Dec 11 10:59:03 2023
